arm,policy,field,action,percent
none,MCTS,timing,surgery_first,79.167
none,MCTS,timing,neoadjuvant,20.833
none,MCTS,surgery,MAST,52.635
none,MCTS,surgery,BCS,47.365
none,MCTS,chemo,none,68.87
none,MCTS,chemo,standard,18.875
none,MCTS,chemo,intensified,12.255
none,MCTS,endocrine,none,70.391
none,MCTS,endocrine,standard,16.542
none,MCTS,endocrine,extended,13.068
none,MCTS,radiation,none,72.146
none,MCTS,radiation,regional,15.016
none,MCTS,radiation,local,12.839
none,NCCN,timing,surgery_first,100.0
none,NCCN,surgery,BCS,62.5
none,NCCN,surgery,MAST,37.5
none,NCCN,chemo,standard,92.5
none,NCCN,chemo,none,7.5
none,NCCN,endocrine,standard,50.0
none,NCCN,endocrine,none,50.0
none,NCCN,radiation,local,62.5
none,NCCN,radiation,none,24.286
none,NCCN,radiation,regional,13.214
label,MCTS,timing,surgery_first,78.125
label,MCTS,timing,neoadjuvant,21.875
label,MCTS,surgery,MAST,52.193
label,MCTS,surgery,BCS,47.807
label,MCTS,chemo,none,69.37
label,MCTS,chemo,standard,19.719
label,MCTS,chemo,intensified,10.911
label,MCTS,endocrine,none,70.391
label,MCTS,endocrine,standard,15.531
label,MCTS,endocrine,extended,14.078
label,MCTS,radiation,none,72.193
label,MCTS,radiation,regional,15.344
label,MCTS,radiation,local,12.464
label,NCCN,timing,surgery_first,100.0
label,NCCN,surgery,BCS,62.5
label,NCCN,surgery,MAST,37.5
label,NCCN,chemo,standard,92.5
label,NCCN,chemo,none,7.5
label,NCCN,endocrine,standard,50.0
label,NCCN,endocrine,none,50.0
label,NCCN,radiation,local,62.5
label,NCCN,radiation,none,24.286
label,NCCN,radiation,regional,13.214
full,MCTS,timing,surgery_first,79.167
full,MCTS,timing,neoadjuvant,20.833
full,MCTS,surgery,MAST,54.224
full,MCTS,surgery,BCS,45.776
full,MCTS,chemo,none,69.812
full,MCTS,chemo,standard,17.443
full,MCTS,chemo,intensified,12.745
full,MCTS,endocrine,none,70.286
full,MCTS,endocrine,standard,16.115
full,MCTS,endocrine,extended,13.599
full,MCTS,radiation,none,71.87
full,MCTS,radiation,regional,15.271
full,MCTS,radiation,local,12.859
full,NCCN,timing,surgery_first,100.0
full,NCCN,surgery,BCS,62.5
full,NCCN,surgery,MAST,37.5
full,NCCN,chemo,standard,92.5
full,NCCN,chemo,none,7.5
full,NCCN,endocrine,standard,50.0
full,NCCN,endocrine,none,50.0
full,NCCN,radiation,local,62.5
full,NCCN,radiation,none,24.286
full,NCCN,radiation,regional,13.214
