arm,policy,field,action,percent
v05,MCTS,timing,surgery_first,79.167
v05,MCTS,timing,neoadjuvant,20.833
v05,MCTS,surgery,MAST,52.635
v05,MCTS,surgery,BCS,47.365
v05,MCTS,chemo,none,68.87
v05,MCTS,chemo,standard,18.875
v05,MCTS,chemo,intensified,12.255
v05,MCTS,endocrine,none,70.391
v05,MCTS,endocrine,standard,16.542
v05,MCTS,endocrine,extended,13.068
v05,MCTS,radiation,none,72.146
v05,MCTS,radiation,regional,15.016
v05,MCTS,radiation,local,12.839
v05,MCTS,salvage,None,100.0
v05,NCCN,timing,surgery_first,100.0
v05,NCCN,surgery,BCS,62.5
v05,NCCN,surgery,MAST,37.5
v05,NCCN,chemo,standard,92.5
v05,NCCN,chemo,none,7.5
v05,NCCN,endocrine,standard,50.0
v05,NCCN,endocrine,none,50.0
v05,NCCN,radiation,local,62.5
v05,NCCN,radiation,none,24.286
v05,NCCN,radiation,regional,13.214
v05,NCCN,salvage,None,100.0
inert,MCTS,timing,surgery_first,80.208
inert,MCTS,timing,neoadjuvant,19.792
inert,MCTS,surgery,MAST,50.464
inert,MCTS,surgery,BCS,49.536
inert,MCTS,chemo,none,67.995
inert,MCTS,chemo,standard,18.349
inert,MCTS,chemo,intensified,13.656
inert,MCTS,endocrine,none,71.854
inert,MCTS,endocrine,standard,18.177
inert,MCTS,endocrine,extended,9.969
inert,MCTS,radiation,none,70.594
inert,MCTS,radiation,local,15.062
inert,MCTS,radiation,regional,14.344
inert,MCTS,salvage,None,92.839
inert,MCTS,salvage,systemic,3.734
inert,MCTS,salvage,none,3.427
inert,NCCN,timing,surgery_first,100.0
inert,NCCN,surgery,BCS,62.5
inert,NCCN,surgery,MAST,37.5
inert,NCCN,chemo,standard,92.5
inert,NCCN,chemo,none,7.5
inert,NCCN,endocrine,standard,50.0
inert,NCCN,endocrine,none,50.0
inert,NCCN,radiation,local,62.5
inert,NCCN,radiation,none,24.286
inert,NCCN,radiation,regional,13.214
inert,NCCN,salvage,None,90.589
inert,NCCN,salvage,systemic,9.411
decide,MCTS,timing,surgery_first,80.417
decide,MCTS,timing,neoadjuvant,19.583
decide,MCTS,surgery,MAST,51.885
decide,MCTS,surgery,BCS,48.115
decide,MCTS,chemo,none,66.479
decide,MCTS,chemo,standard,19.161
decide,MCTS,chemo,intensified,14.359
decide,MCTS,endocrine,none,69.464
decide,MCTS,endocrine,standard,17.13
decide,MCTS,endocrine,extended,13.406
decide,MCTS,radiation,none,71.536
decide,MCTS,radiation,local,15.026
decide,MCTS,radiation,regional,13.438
decide,MCTS,salvage,None,92.839
decide,MCTS,salvage,none,6.104
decide,MCTS,salvage,systemic,1.057
decide,NCCN,timing,surgery_first,100.0
decide,NCCN,surgery,BCS,62.5
decide,NCCN,surgery,MAST,37.5
decide,NCCN,chemo,standard,92.5
decide,NCCN,chemo,none,7.5
decide,NCCN,endocrine,standard,50.0
decide,NCCN,endocrine,none,50.0
decide,NCCN,radiation,local,62.5
decide,NCCN,radiation,none,24.286
decide,NCCN,radiation,regional,13.214
decide,NCCN,salvage,None,90.589
decide,NCCN,salvage,systemic,9.411
defer,MCTS,timing,surgery_first,78.542
defer,MCTS,timing,neoadjuvant,21.458
defer,MCTS,surgery,MAST,50.198
defer,MCTS,surgery,BCS,49.802
defer,MCTS,chemo,none,67.094
defer,MCTS,chemo,standard,19.75
defer,MCTS,chemo,intensified,13.156
defer,MCTS,endocrine,none,70.328
defer,MCTS,endocrine,standard,18.24
defer,MCTS,endocrine,extended,11.432
defer,MCTS,radiation,none,68.25
defer,MCTS,radiation,regional,16.922
defer,MCTS,radiation,local,14.828
defer,MCTS,salvage,None,92.661
defer,MCTS,salvage,systemic,7.339
defer,NCCN,timing,surgery_first,100.0
defer,NCCN,surgery,BCS,62.5
defer,NCCN,surgery,MAST,37.5
defer,NCCN,chemo,standard,92.5
defer,NCCN,chemo,none,7.5
defer,NCCN,endocrine,standard,50.0
defer,NCCN,endocrine,none,50.0
defer,NCCN,radiation,local,62.5
defer,NCCN,radiation,none,24.286
defer,NCCN,radiation,regional,13.214
defer,NCCN,salvage,None,90.589
defer,NCCN,salvage,systemic,9.411
