arm,seed_index,utility_gap,mcts_utility,nccn_utility
v05,0,0.011221666666666907,0.829195,0.8179733333333331
v05,1,0.02230583333333358,0.8255716666666668,0.8032658333333332
v05,2,0.018314166666666853,0.8268083333333334,0.8084941666666665
v05,3,0.022985833333333372,0.8268833333333333,0.8038974999999999
v05,4,0.022038333333333382,0.8260166666666666,0.8039783333333332
v05,5,0.021894999999999887,0.8233508333333333,0.8014558333333334
v05,6,0.023667500000000175,0.82603,0.8023624999999999
v05,7,0.01373833333333363,0.8124716666666668,0.7987333333333332
v05,8,0.02649833333333329,0.8266724999999999,0.8001741666666666
v05,9,0.01847333333333334,0.8215116666666666,0.8030383333333333
v05,10,0.02264166666666667,0.8292624999999999,0.8066208333333332
v05,11,0.01444583333333338,0.8165908333333334,0.802145
inert,0,0.018509999999999915,0.8363166666666665,0.8178066666666666
inert,1,0.019840833333333308,0.8232733333333332,0.8034324999999999
inert,2,0.022718333333333396,0.8305458333333332,0.8078274999999998
inert,3,0.023023333333333396,0.8278375,0.8048141666666666
inert,4,0.016462499999999936,0.8206074999999998,0.8041449999999999
inert,5,0.02076750000000016,0.8229733333333333,0.8022058333333332
inert,6,0.020657500000000106,0.82302,0.8023624999999999
inert,7,0.016258333333333486,0.8152416666666668,0.7989833333333333
inert,8,0.01768499999999995,0.8187758333333333,0.8010908333333333
inert,9,0.017548333333333388,0.8202533333333333,0.8027049999999999
inert,10,0.017185833333333456,0.8242233333333333,0.8070374999999999
inert,11,0.016110833333333408,0.8170891666666668,0.8009783333333333
decide,0,0.01362416666666666,0.8303808333333332,0.8167566666666666
decide,1,0.020671666666666644,0.8233749999999999,0.8027033333333332
decide,2,0.020970833333333383,0.8274858333333333,0.8065149999999999
decide,3,0.016527499999999917,0.8197291666666666,0.8032016666666667
decide,4,0.017456666666666898,0.8207891666666667,0.8033324999999998
decide,5,0.016933333333333467,0.8183016666666667,0.8013683333333332
decide,6,0.01925083333333366,0.8205508333333335,0.8012999999999998
decide,7,0.02180000000000004,0.8196166666666667,0.7978166666666666
decide,8,0.02184000000000008,0.821985,0.8001449999999999
decide,9,0.017596666666666816,0.8196058333333334,0.8020091666666666
decide,10,0.01726833333333322,0.8232183333333332,0.8059499999999999
decide,11,0.019429999999999947,0.8191958333333332,0.7997658333333333
defer,0,0.01730833333333348,0.8340650000000001,0.8167566666666666
defer,1,0.018804166666666622,0.8215074999999998,0.8027033333333332
defer,2,0.017397500000000066,0.8239124999999999,0.8065149999999999
defer,3,0.01263083333333348,0.8158325000000002,0.8032016666666667
defer,4,0.01974166666666688,0.8230741666666667,0.8033324999999998
defer,5,0.015453333333333319,0.8168216666666666,0.8013683333333332
defer,6,0.021438333333333448,0.8227383333333332,0.8012999999999998
defer,7,0.01555916666666668,0.8133758333333333,0.7978166666666666
defer,8,0.018166666666666775,0.8183116666666667,0.8001449999999999
defer,9,0.021243333333333392,0.8232524999999999,0.8020091666666666
defer,10,0.018750000000000044,0.8247,0.8059499999999999
defer,11,0.015933333333333355,0.8156991666666666,0.7997658333333333
