regimen_number_within_cancer,primary_channel,regimens,percent
1,chemotherapy,641,58.11
1,endocrine,232,21.03
1,her2_targeted,168,15.23
1,investigational,48,4.35
1,targeted_other,13,1.18
1,other,1,0.09
2,endocrine,544,54.02
2,chemotherapy,231,22.94
2,her2_targeted,128,12.71
2,investigational,56,5.56
2,targeted_other,45,4.47
2,other,3,0.3
3,endocrine,396,45.78
3,chemotherapy,191,22.08
3,her2_targeted,118,13.64
3,investigational,91,10.52
3,targeted_other,66,7.63
3,immunotherapy,2,0.23
3,other,1,0.12
4,endocrine,245,33.11
4,chemotherapy,195,26.35
4,her2_targeted,117,15.81
4,targeted_other,92,12.43
4,investigational,88,11.89
4,immunotherapy,3,0.41
5,chemotherapy,181,29.77
5,endocrine,121,19.9
5,investigational,108,17.76
5,targeted_other,101,16.61
5,her2_targeted,93,15.3
5,immunotherapy,2,0.33
5,other,2,0.33
