arm,policy,field,action,percent
tail,MCTS,timing,surgery_first,66.667
tail,MCTS,timing,neoadjuvant,33.333
tail,MCTS,surgery,MAST,51.917
tail,MCTS,surgery,BCS,48.083
tail,MCTS,chemo,none,46.219
tail,MCTS,chemo,intensified,38.911
tail,MCTS,chemo,standard,14.87
tail,MCTS,endocrine,none,62.771
tail,MCTS,endocrine,extended,18.927
tail,MCTS,endocrine,standard,18.302
tail,MCTS,radiation,none,59.438
tail,MCTS,radiation,regional,22.526
tail,MCTS,radiation,local,18.036
tail,MCTS,salvage,None,100.0
tail,NCCN,timing,surgery_first,100.0
tail,NCCN,surgery,BCS,62.5
tail,NCCN,surgery,MAST,37.5
tail,NCCN,chemo,standard,92.5
tail,NCCN,chemo,none,7.5
tail,NCCN,endocrine,standard,50.0
tail,NCCN,endocrine,none,50.0
tail,NCCN,radiation,local,62.5
tail,NCCN,radiation,none,24.286
tail,NCCN,radiation,regional,13.214
tail,NCCN,salvage,None,100.0
inert,MCTS,timing,surgery_first,64.792
inert,MCTS,timing,neoadjuvant,35.208
inert,MCTS,surgery,MAST,50.828
inert,MCTS,surgery,BCS,49.172
inert,MCTS,chemo,none,43.521
inert,MCTS,chemo,intensified,40.87
inert,MCTS,chemo,standard,15.609
inert,MCTS,endocrine,none,61.49
inert,MCTS,endocrine,extended,19.922
inert,MCTS,endocrine,standard,18.589
inert,MCTS,radiation,none,57.391
inert,MCTS,radiation,regional,23.906
inert,MCTS,radiation,local,18.703
inert,MCTS,salvage,None,92.391
inert,MCTS,salvage,systemic,3.953
inert,MCTS,salvage,none,3.656
inert,NCCN,timing,surgery_first,100.0
inert,NCCN,surgery,BCS,62.5
inert,NCCN,surgery,MAST,37.5
inert,NCCN,chemo,standard,92.5
inert,NCCN,chemo,none,7.5
inert,NCCN,endocrine,standard,50.0
inert,NCCN,endocrine,none,50.0
inert,NCCN,radiation,local,62.5
inert,NCCN,radiation,none,24.286
inert,NCCN,radiation,regional,13.214
inert,NCCN,salvage,None,90.589
inert,NCCN,salvage,systemic,9.411
decide,MCTS,timing,surgery_first,64.167
decide,MCTS,timing,neoadjuvant,35.833
decide,MCTS,surgery,MAST,51.224
decide,MCTS,surgery,BCS,48.776
decide,MCTS,chemo,none,43.734
decide,MCTS,chemo,intensified,41.526
decide,MCTS,chemo,standard,14.74
decide,MCTS,endocrine,none,62.297
decide,MCTS,endocrine,extended,20.177
decide,MCTS,endocrine,standard,17.526
decide,MCTS,radiation,none,59.672
decide,MCTS,radiation,regional,21.901
decide,MCTS,radiation,local,18.427
decide,MCTS,salvage,None,92.552
decide,MCTS,salvage,systemic,7.354
decide,MCTS,salvage,none,0.094
decide,NCCN,timing,surgery_first,100.0
decide,NCCN,surgery,BCS,62.5
decide,NCCN,surgery,MAST,37.5
decide,NCCN,chemo,standard,92.5
decide,NCCN,chemo,none,7.5
decide,NCCN,endocrine,standard,50.0
decide,NCCN,endocrine,none,50.0
decide,NCCN,radiation,local,62.5
decide,NCCN,radiation,none,24.286
decide,NCCN,radiation,regional,13.214
decide,NCCN,salvage,None,90.589
decide,NCCN,salvage,systemic,9.411
defer,MCTS,timing,surgery_first,65.833
defer,MCTS,timing,neoadjuvant,34.167
defer,MCTS,surgery,MAST,51.521
defer,MCTS,surgery,BCS,48.479
defer,MCTS,chemo,none,44.37
defer,MCTS,chemo,intensified,40.708
defer,MCTS,chemo,standard,14.922
defer,MCTS,endocrine,none,64.193
defer,MCTS,endocrine,extended,19.906
defer,MCTS,endocrine,standard,15.901
defer,MCTS,radiation,none,57.948
defer,MCTS,radiation,regional,23.938
defer,MCTS,radiation,local,18.115
defer,MCTS,salvage,None,92.443
defer,MCTS,salvage,systemic,7.557
defer,NCCN,timing,surgery_first,100.0
defer,NCCN,surgery,BCS,62.5
defer,NCCN,surgery,MAST,37.5
defer,NCCN,chemo,standard,92.5
defer,NCCN,chemo,none,7.5
defer,NCCN,endocrine,standard,50.0
defer,NCCN,endocrine,none,50.0
defer,NCCN,radiation,local,62.5
defer,NCCN,radiation,none,24.286
defer,NCCN,radiation,regional,13.214
defer,NCCN,salvage,None,90.589
defer,NCCN,salvage,systemic,9.411
