arm,policy,field,action,percent
decide,MCTS,timing,surgery_first,66.771
decide,MCTS,timing,neoadjuvant,33.229
decide,MCTS,surgery,BCS,50.523
decide,MCTS,surgery,MAST,49.477
decide,MCTS,chemo,none,46.174
decide,MCTS,chemo,intensified,39.615
decide,MCTS,chemo,standard,14.211
decide,MCTS,endocrine,none,62.466
decide,MCTS,endocrine,extended,19.029
decide,MCTS,endocrine,standard,18.505
decide,MCTS,radiation,none,55.646
decide,MCTS,radiation,regional,25.232
decide,MCTS,radiation,local,19.122
decide,MCTS,salvage,None,92.508
decide,MCTS,salvage,systemic,3.961
decide,MCTS,salvage,none,3.531
decide,NCCN,timing,surgery_first,100.0
decide,NCCN,surgery,BCS,62.5
decide,NCCN,surgery,MAST,37.5
decide,NCCN,chemo,standard,92.5
decide,NCCN,chemo,none,7.5
decide,NCCN,endocrine,standard,50.0
decide,NCCN,endocrine,none,50.0
decide,NCCN,radiation,local,62.5
decide,NCCN,radiation,none,24.362
decide,NCCN,radiation,regional,13.138
decide,NCCN,salvage,None,90.617
decide,NCCN,salvage,systemic,9.383
defer,MCTS,timing,surgery_first,64.479
defer,MCTS,timing,neoadjuvant,35.521
defer,MCTS,surgery,MAST,50.786
defer,MCTS,surgery,BCS,49.214
defer,MCTS,chemo,none,43.831
defer,MCTS,chemo,intensified,41.82
defer,MCTS,chemo,standard,14.349
defer,MCTS,endocrine,none,62.682
defer,MCTS,endocrine,extended,20.031
defer,MCTS,endocrine,standard,17.286
defer,MCTS,radiation,none,57.789
defer,MCTS,radiation,regional,23.987
defer,MCTS,radiation,local,18.224
defer,MCTS,salvage,None,92.466
defer,MCTS,salvage,systemic,7.534
defer,NCCN,timing,surgery_first,100.0
defer,NCCN,surgery,BCS,62.5
defer,NCCN,surgery,MAST,37.5
defer,NCCN,chemo,standard,92.5
defer,NCCN,chemo,none,7.5
defer,NCCN,endocrine,standard,50.0
defer,NCCN,endocrine,none,50.0
defer,NCCN,radiation,local,62.5
defer,NCCN,radiation,none,24.362
defer,NCCN,radiation,regional,13.138
defer,NCCN,salvage,None,90.617
defer,NCCN,salvage,systemic,9.383
