hazard_ratio,cells,treat_share,mean_advantage
0.8,160,1.0,0.0870745750166043
0.81,160,1.0,0.08145375877175799
0.82,160,1.0,0.0758775796045578
0.83,160,1.0,0.0703456033153807
0.84,160,1.0,0.06485740049872551
0.85,160,1.0,0.05941254648540599
0.86,160,1.0,0.05401062128548846
0.87,160,1.0,0.04865120953196305
0.88,160,1.0,0.04333390042513939
0.89,160,1.0,0.038058287677756916
0.9,160,1.0,0.03282396946079937
0.91,160,1.0,0.027630548350004818
0.92,160,1.0,0.02247763127306138
0.93,160,1.0,0.017364829457479324
0.94,160,1.0,0.012291758379130841
0.95,160,0.975,0.007258037711448258
0.96,160,0.81875,0.002263291275271402
0.97,160,0.10625,-0.0026928530106638516
0.98,160,0.0,-0.00761076317860516
0.99,160,0.0,-0.012490803260039398
1.0,160,0.0,-0.017333333333333336
